name,company,place,salary,education,experience,label,scale,href,key_word
c++、python,某北京大型计算机软件公司,北京,15-20k,统招本科,5年以上,某北京大型计算机软件公司 融资未公开,2000-5000人,https://www.liepin.com/a/70728519.shtml,Python
Python开发工程师,某大型专业技术服务公司,北京-朝阳区,14-18k,统招本科,3-5年,某大型专业技术服务公司 融资未公开,10000人以上,https://www.liepin.com/a/70706941.shtml,Python
Python工程师,某深圳大型通信设备公司,北京,14-28k,本科,经验不限,某深圳大型通信设备公司 战略融资,10000人以上,https://www.liepin.com/a/70991537.shtml,Python
Python后端开发,,北京-海淀区,15-30k·14薪,统招本科,经验不限,人力资源服务 已上市,10000人以上,https://www.liepin.com/a/69494535.shtml,Python
Python开发工程师（中后台业务系统）,某北京基金/证券/期货公司,北京,40-70k·16薪,统招本科,经验不限,某北京基金/证券/期货公司 融资未公开,100-499人,https://www.liepin.com/a/70363623.shtml,Python
Python开发工程师,某深圳大型通信设备公司,北京-海淀区,15-30k·14薪,本科,经验不限,某深圳大型通信设备公司 战略融资,10000人以上,https://www.liepin.com/a/70564337.shtml,Python
Python后端工程师（上市公司/Agent项目）,,北京,30-50k,统招本科,经验不限,计算机软件 已上市,5000-10000人,https://www.liepin.com/a/70684293.shtml,Python
Python后端开发工程师,某北京互联网公司,北京-海淀区,20-30k,统招本科,3-5年,某北京互联网公司 B轮,100-499人,https://www.liepin.com/a/70602685.shtml,Python
Python数据开发工程师,某基金/证券/期货公司,北京,25-45k·15薪,学历不限,3-5年,某基金/证券/期货公司 融资未公开,100-499人,https://www.liepin.com/a/70555785.shtml,Python
后端开发（java golang python),某上海其他商务服务业公司,北京,75-85k,本科,3-8年,某上海其他商务服务业公司,1-49人,https://www.liepin.com/a/70564845.shtml,Python
Python开发（量化-base北上杭深港）,百亿量化私募公司,北京,35-65k·19薪,本科,经验不限,百亿量化私募公司 融资未公开,100-499人,https://www.liepin.com/a/67264759.shtml,Python
后端开发(Go/python/C++),,北京,40-60k,本科,3-5年,科技金融 已上市,500-999人,https://www.liepin.com/a/70237673.shtml,Python
Python,某北京基金/证券/期货公司,北京,20-40k,统招本科,经验不限,某北京基金/证券/期货公司 融资未公开,100-499人,https://www.liepin.com/a/70426675.shtml,Python
Python开发工程师,亚信科技,北京-海淀区,15-22k·13薪,本科,3年以上,亚信科技 港股上市,10000人以上,https://www.liepin.com/job/1974571953.shtml,Python
Python后端开发工程师,纬创软件,北京-顺义区,18-21k,本科,5-10年,纬创软件,5000-10000人,https://www.liepin.com/job/1979131439.shtml,Python
头部互联网公司Python开发/薪资25-40k/15-18薪,,北京-朝阳区,25-40k·15薪,统招本科,经验不限,科技金融 已上市,500-999人,https://www.liepin.com/a/70118743.shtml,Python
高级 python 数据开发工程师,某上海基金/证券/期货公司,北京,80-100k,硕士,3-5年,某上海基金/证券/期货公司,1-49人,https://www.liepin.com/a/70821051.shtml,Python
python算法模型工程师,某北京医疗健康公司,北京,15-25k,统招本科,3-5年,某北京医疗健康公司,50-99人,https://www.liepin.com/a/71003783.shtml,Python
Python,某知名公司,北京,20-40k·16薪,统招本科,3-5年,某知名公司 融资未公开,50-99人,https://www.liepin.com/a/69453659.shtml,Python
Python后端开发工程师,某上海知名公司,北京,40-70k·15薪,统招本科,3年以下,某上海知名公司,1-49人,https://www.liepin.com/a/70455007.shtml,Python
Python工程师,某知名公司,北京,20-40k,统招本科,经验不限,某知名公司 已上市,2000-5000人,https://www.liepin.com/a/69589995.shtml,Python
后端开发工程师（go/python）,某北京基金/证券/期货公司,北京,30-45k·16薪,本科,经验不限,某北京基金/证券/期货公司 融资未公开,100-499人,https://www.liepin.com/a/70708031.shtml,Python
智能体开发工程师（AI、python、Java）,领翼工软,北京-朝阳区,15-25k,本科,3年以上,领翼工软 不需要融资,100-499人,https://www.liepin.com/job/1979278855.shtml,Python
Python爬虫工程师,某成都互联网公司,北京,20-40k,本科,3-5年,某成都互联网公司 融资未公开,100-499人,https://www.liepin.com/a/70594899.shtml,Python
python开发工程师 （双休 十四薪 大厂）,,北京,14-28k·14薪,本科,经验不限,某武汉大型人力资源服务公司 融资未公开,2000-5000人,https://www.liepin.com/a/70263183.shtml,Python
AI医疗大模型工程师（python）,某北京医疗健康公司,北京,19-35k,统招本科,3年以上,某北京医疗健康公司,50-99人,https://www.liepin.com/a/70687945.shtml,Python
python开发工程师,某北京基金证券公司,北京,30-60k·16薪,统招本科,经验不限,某北京基金证券公司 融资未公开,100-499人,https://www.liepin.com/a/70432695.shtml,Python
Python后端开发工程师,某北京科技推广服务公司,北京,30-60k·15薪,统招本科,3-5年,某北京科技推广服务公司,,https://www.liepin.com/a/70288873.shtml,Python
Python（大模型）,,北京,30-60k,本科,经验不限,翻译服务 已上市,500-999人,https://www.liepin.com/a/70892101.shtml,Python
后端开发leader(python),某北京大型互联网公司,北京-海淀区,55-75k·16薪,本科,5-10年,某北京大型互联网公司,10000人以上,https://www.liepin.com/a/70296461.shtml,Python
Python开发工程师,天津和光同德科技股份有限公司北京分公司,北京-朝阳区,20-23k,本科,5-10年,天津和光同德科技股份有限公司北京分公司,50-99人,https://www.liepin.com/job/1979228927.shtml,Python
python,某北京大型游戏公司,北京-朝阳区,20-40k,本科,3-5年,某北京大型游戏公司 融资未公开,5000-10000人,https://www.liepin.com/a/69541695.shtml,Python
高级数据开发工程师/专家（Python）,某北京基金/证券/期货公司,北京,40-70k·16薪,统招本科,3-5年,某北京基金/证券/期货公司 融资未公开,100-499人,https://www.liepin.com/a/70363573.shtml,Python
量化开发（Python/C++，应届/实习/全职）,某北京基金/证券/期货公司,北京,35-65k·15薪,统招本科,经验不限,某北京基金/证券/期货公司 不需要融资,50-99人,https://www.liepin.com/a/70390895.shtml,Python
JAVA、C、C++、PYTHON基础开发岗位，测试岗位。,某深圳大型通信设备公司,北京,15-30k·14薪,统招本科,10年以下,某深圳大型通信设备公司 战略融资,10000人以上,https://www.liepin.com/a/70664707.shtml,Python
Python开发工程师（ 大厂 试用期全薪）,某深圳大型通信设备公司,北京-海淀区,20-40k·14薪,本科,经验不限,某深圳大型通信设备公司 战略融资,10000人以上,https://www.liepin.com/a/69353483.shtml,Python
Python,某知名公司,北京,20-30k·15薪,统招本科,3-5年,某知名公司 A轮,50-99人,https://www.liepin.com/a/68653503.shtml,Python
