name,company,place,salary,education,experience,label,scale,href,key_word,salary_avg,experience_years,education_level,scale_value,cluster
AI攻击策略研究员,某成都网络/信息安全公司,成都-锦江区,20-30k·13薪,本科,3-5年,某成都网络/信息安全公司 A轮,50-99人,https://www.liepin.com/a/71045289.shtml,AI,25.0,4.0,3,0,4
AI算法工程师,某成都通信设备公司,成都,21-40k,本科,经验不限,某成都通信设备公司 融资未公开,1-49人,https://www.liepin.com/a/69004975.shtml,AI,30.5,0.5,3,0,2
AI产品经理,某知名公司,成都,15-25k·13薪,硕士,3-5年,某知名公司,1-49人,https://www.liepin.com/a/69357143.shtml,AI,20.0,4.0,4,0,4
医疗AI平台高级研发工程师,,成都,30-40k·16薪,统招本科,5-10年,某大型知名人工智能公司 已上市,10000人以上,https://www.liepin.com/a/70816243.shtml,AI,35.0,7.5,3,5,1
电商运营经理（AI、潮玩、IP、新消费美妆）,某成都工业自动化公司,成都,30-35k,本科,3-5年,某成都工业自动化公司 D轮及以上,100-499人,https://www.liepin.com/a/71000139.shtml,AI,32.5,4.0,3,2,4
AI Infra工程师（全栈方向）,睿思芯科,成都-高新区,20-40k·14薪,本科,经验不限,睿思芯科 B轮,100-499人,https://www.liepin.com/job/1978057307.shtml,AI,30.0,0.5,3,2,2
AI应用工程师（高教大数据咨询领域）,麦可思数据,成都,15-30k·13薪,统招本科,1-5年,麦可思数据,100-499人,https://www.liepin.com/job/1973619571.shtml,AI,22.5,3.0,3,2,4
语言测试/AI车企/外企,新超硕科技(北京)有限公司,成都-高新区,8-10k,本科,经验不限,新超硕科技(北京)有限公司,500-999人,https://www.liepin.com/job/1978911429.shtml,AI,9.0,0.5,3,3,4
AI产品负责人,某成都互联网公司,成都,25-35k,本科,3-5年,某成都互联网公司,50-99人,https://www.liepin.com/a/68938745.shtml,AI,30.0,4.0,3,0,4
AI&大数据架构师,某北京大型学术/科研公司,成都-武侯区,30-50k·14薪,统招本科,5-10年,某北京大型学术/科研公司 天使轮,500-999人,https://www.liepin.com/a/71054417.shtml,AI,40.0,7.5,3,3,1
解决方案售前顾问-AI方向,某上海计算机软件公司,成都,15-25k,本科,3-5年,某上海计算机软件公司 A轮,50-99人,https://www.liepin.com/a/71069033.shtml,AI,20.0,4.0,3,0,4
前端开发工程师（API &AI World平台）,某北京大型工业自动化公司,成都,20-27k·13薪,统招本科,5-10年,某北京大型工业自动化公司 融资未公开,10000人以上,https://www.liepin.com/a/71006023.shtml,AI,23.5,7.5,3,5,1
AI测试专家（国企）,某知名公司,成都,30-60k,统招本科,5-10年,某知名公司 天使轮,500-999人,https://www.liepin.com/a/71035323.shtml,AI,45.0,7.5,3,3,1
前端开发工程师（API &AI World平台）,某北京大型智能硬件公司,成都-金牛区,20-27k,本科,3-5年,某北京大型智能硬件公司 融资未公开,10000人以上,https://www.liepin.com/a/70990401.shtml,AI,23.5,4.0,3,5,1
AI内容创作,某成都大型珠宝/首饰公司,成都,20-40k,大专,3-5年,某成都大型珠宝/首饰公司,500-999人,https://www.liepin.com/a/71229005.shtml,AI,30.0,4.0,2,3,4
