name,company,place,salary,education,experience,label,scale,href,key_word
产品经理,西安森科软件开发有限公司,西安-高新区,10-18k,统招本科,5-10年,西安森科软件开发有限公司,50-99人,https://www.liepin.com/job/1970848555.shtml,物联网
WW-产研负责人/CTO,北京万维盈创科技发展有限公司,西安-高新区,35-45k,统招本科,5-10年,北京万维盈创科技发展有限公司,500-999人,https://www.liepin.com/job/1970621129.shtml,物联网
WW-软件技术总监,北京万维盈创科技发展有限公司,西安-高新区,25-35k,统招本科,5-10年,北京万维盈创科技发展有限公司,500-999人,https://www.liepin.com/job/1970620079.shtml,物联网
销售代表,宝创科技,西安-未央区,11-20k,大专,3-5年,宝创科技,50-99人,https://www.liepin.com/job/1969541789.shtml,物联网
研发总监,立达信,西安-高新区,35-60k,硕士,10年以上,立达信,10000人以上,https://www.liepin.com/job/1965231499.shtml,物联网
分公司/代表处负责人,立达信,西安-高新区,40-60k,硕士,10年以上,立达信,10000人以上,https://www.liepin.com/job/1965230499.shtml,物联网
研发中心负责人【西安-高新区】,立达信,西安-高新区,35-65k,硕士,5-10年,立达信,10000人以上,https://www.liepin.com/job/1961388145.shtml,物联网
硬件工程师,西安忠德智能科技有限公司,西安,15-25k,大专,经验不限,西安忠德智能科技有限公司,500-999人,https://www.liepin.com/job/1956584733.shtml,物联网
高级Java开发工程师,东方智感(浙江)科技股份有限公司,西安-碑林区,14-20k,本科,5-10年,东方智感(浙江)科技股份有限公司 新三板上市,100-499人,https://www.liepin.com/job/1953552465.shtml,物联网
测试开发,北京海芯智能科技有限公司,西安-高新区,15-20k,统招本科,3-5年,北京海芯智能科技有限公司,50-99人,https://www.liepin.com/job/1948533551.shtml,物联网
职业经理人,西安华晨体育文化传播有限公司,西安,8-12k,本科,5-10年,西安华晨体育文化传播有限公司,100-499人,https://www.liepin.com/job/1945718485.shtml,物联网
,,,,,,,,https://www.liepin.com/job/1966014411.shtml,物联网
总经理助理,西安德林齿科科技有限公司,西安,10-15k,本科,经验不限,西安德林齿科科技有限公司 融资未公开,50-99人,https://www.liepin.com/job/1943641853.shtml,物联网
大客户经理ka,群杰物联,西安,5-10k,大专,经验不限,群杰物联,1-49人,https://www.liepin.com/job/1936926605.shtml,物联网
嵌入式软件开发工程师,四川爱联科技股份有限公司,西安,11-22k,本科,5-10年,四川爱联科技股份有限公司 新三板上市,500-999人,https://www.liepin.com/job/1935358501.shtml,物联网
弱电与信息化工程经理,陕西明秦信息科技有限公司,西安,6-10k,大专,5-10年,陕西明秦信息科技有限公司,1-49人,https://www.liepin.com/job/1928459877.shtml,物联网
C/C++【大厂 稳定】,某深圳大型通信设备公司,西安-雁塔区,20-40k·16薪,统招本科,经验不限,某深圳大型通信设备公司 战略融资,10000人以上,https://www.liepin.com/a/70849651.shtml,物联网
技术支撑经理（西安）,某广州大型物联网公司,西安,16-21k·17薪,硕士,3-5年,某广州大型物联网公司 融资未公开,500-999人,https://www.liepin.com/a/70696519.shtml,物联网
客户经理（央企）,某大型知名通信设备公司,西安-雁塔区,15-23k·17薪,硕士,1-3年,某大型知名通信设备公司 融资未公开,500-999人,https://www.liepin.com/a/69914303.shtml,物联网
技术支撑经理（西安）,某广州大型物联网公司,西安,18-24k·17薪,硕士,3-5年,某广州大型物联网公司 融资未公开,500-999人,https://www.liepin.com/a/69887465.shtml,物联网
区域经理,某知名公司,西安-雁塔区,20-30k·14薪,硕士,3-5年,某知名公司 融资未公开,500-999人,https://www.liepin.com/a/69867031.shtml,物联网
总经理,某西安其他商务服务业公司,西安,20-40k,本科,5-10年,某西安其他商务服务业公司,1-49人,https://www.liepin.com/a/69671675.shtml,物联网
首席运营官,某西安知识产权服务公司,西安,20-40k,本科,10年以上,某西安知识产权服务公司,1-49人,https://www.liepin.com/a/68620459.shtml,物联网
通信测试工程师(初级),芯派科技,西安-高新区,5-10k,本科,1年以下,芯派科技 C轮,100-499人,https://www.liepin.com/job/1979048237.shtml,物联网
高级后端开发工程师,深开鸿,西安-高新区,25-35k,本科,5-10年,深开鸿 天使轮,500-999人,https://www.liepin.com/job/1978959943.shtml,物联网
项目经理（能源）,思安新能源,西安-高新区,15-20k,本科,5-10年,思安新能源,100-499人,https://www.liepin.com/job/1978949235.shtml,物联网
售前顾问,西安莱特信息工程有限公司,西安-未央区,10-13k,硕士,经验不限,西安莱特信息工程有限公司 融资未公开,50-99人,https://www.liepin.com/job/1978799015.shtml,物联网
销售经理（西安） (MJ005954),上海移远通信技术股份有限公司,西安-高新区,8-13k,大专,2年以上,上海移远通信技术股份有限公司 沪深A股上市,5000-10000人,https://www.liepin.com/job/1978475767.shtml,物联网
软件测试TSE(J10093),有方科技,西安-高新区,13-20k,统招本科,5-10年,有方科技 科创板上市,500-999人,https://www.liepin.com/job/1978368109.shtml,物联网
项目经理/主管（能源数字化方向）,思安新能源,西安-高新区,15-20k·13薪,本科,5-10年,思安新能源,100-499人,https://www.liepin.com/job/1977875955.shtml,物联网
硅片业务系统开发高级主任工程师(052315),隆基绿能,西安-未央区,20-30k,本科,5-10年,隆基绿能 沪深A股上市,10000人以上,https://www.liepin.com/job/1977834803.shtml,物联网
售前经理,山东恒远智能科技有限公司,西安-高新区,18-30k,本科,5-10年,山东恒远智能科技有限公司 B轮,100-499人,https://www.liepin.com/job/1977420697.shtml,物联网
mes项目经理,山东恒远智能科技有限公司,西安-高新区,12-25k,本科,3年以上,山东恒远智能科技有限公司 B轮,100-499人,https://www.liepin.com/job/1977419763.shtml,物联网
,,,,,,,,https://www.liepin.com/job/1965960025.shtml,物联网
MES项目经理,山东恒远智能科技有限公司,西安-高新区,10-25k,本科,3年以上,山东恒远智能科技有限公司 B轮,100-499人,https://www.liepin.com/job/1977195821.shtml,物联网
售前经理,山东恒远智能科技有限公司,西安-高新区,10-30k·13薪,统招本科,3-10年,山东恒远智能科技有限公司 B轮,100-499人,https://www.liepin.com/job/1977195575.shtml,物联网
嵌入式软件开发,西安兆孚电气科技股份有限公司,西安-高新区,10-15k,本科,经验不限,西安兆孚电气科技股份有限公司 不需要融资,50-99人,https://www.liepin.com/job/1976931667.shtml,物联网
硬件测试工程师,西安西图之光智能科技有限公司,西安-高新区,5-7k,本科,2年以上,西安西图之光智能科技有限公司 A轮,50-99人,https://www.liepin.com/job/1976113337.shtml,物联网
智慧空间信息化项目总监(A39207),中邮数智(西安)科技有限公司,西安-高新区,15-30k,统招本科,5-10年,中邮数智(西安)科技有限公司,,https://www.liepin.com/job/1976027299.shtml,物联网
嵌入式驱动开发工程师-西安(J13200),广和通,西安-高新区,10-15k,统招本科,3-5年,广和通 已上市,1000-2000人,https://www.liepin.com/job/1976022683.shtml,物联网
PLC自控工程师,思安新能源,西安-高新区,10-15k,统招本科,3-5年,思安新能源,100-499人,https://www.liepin.com/job/1975839041.shtml,物联网
嵌入式驱动开发工程师(J13049),广和通,西安-高新区,15-25k·15薪,本科,3-10年,广和通 已上市,1000-2000人,https://www.liepin.com/job/1975669991.shtml,物联网
